category,item,item_full,gemini_anthropic_r,gemini_anthropic_p,gemini_openai_r,gemini_openai_p,anthropic_openai_r,anthropic_openai_p,avg_correlation
B2,example_appropriateness,B2_explanation_systematicity_example_appropriateness,0.6034983855232785,1.44652545527008e-29,0.5630299118992447,3.7648082496682347e-25,0.7175334797404012,3.3661851635778067e-46,0.6280205923876414
B3,advanced_direction,B3_learning_expandability_advanced_direction,0.6592333085446618,8.686240159852996e-37,0.6740819209039544,5.5809454211483e-39,0.6592333085446616,8.686240159853479e-37,0.6641828459977592
B3,application_connection,B3_learning_expandability_application_connection,0.4830047462197795,5.2516139853971315e-18,0.4188750274931453,1.7122317221091112e-13,0.5925187863666593,2.630509963968577e-28,0.4981328533598614
B3,misconception_correction,B3_learning_expandability_misconception_correction,0.6903100399642362,1.5838182910424556e-41,0.6475981407127547,3.7277782676229346e-35,0.654866560154687,3.630923218932448e-36,0.6642582469438926
B3,self_directed_induction,B3_learning_expandability_self_directed_induction,0.3316908743479482,1.0157657786622298e-08,0.5626160025573523,4.14776130198766e-25,0.40238239152373867,1.7704035838957962e-12,0.43222975614301307
C1,goal_centered_consistency,C1_dialogue_coherence_goal_centered_consistency,0.5059740912265562,7.226775453820045e-20,0.32166449074463344,2.940559498554091e-08,0.4373368033751136,1.0719293331249404e-14,0.4216584617821011
C1,context_reference,C1_dialogue_coherence_context_reference,0.277408889866982,2.055698924811884e-06,0.1711990171892288,0.003806508303169476,0.42474674230940107,7.223582095202023e-14,0.29111821645520397
C1,topic_continuity,C1_dialogue_coherence_topic_continuity,0.3678177662295254,1.5858484394783906e-10,0.17577848432725707,0.0029549635472359546,0.3648876244607283,2.2668345839135459e-10,0.30282795833917026
C1,previous_turn_connection,C1_dialogue_coherence_previous_turn_connection,0.2884744203715357,7.592842491048428e-07,0.3801579881965904,3.383950676681862e-11,0.46557589460166926,1.1020021366365105e-16,0.3780694343899318
C2,thinking_process_induction,C2_learning_support_thinking_process_induction,0.1872639432194793,0.0015243947276742731,0.26936698873185316,4.128076548024037e-06,0.25292589702845064,1.6037728745381683e-05,0.23651894299326104
C2,understanding_check,C2_learning_support_understanding_check,0.2883738418934374,7.663375870594306e-07,0.4290289435815364,3.8087392032714214e-14,0.3934192565699295,5.976122869973787e-12,0.3702740140149678
C2,metacognitive_promotion,C2_learning_support_metacognitive_promotion,0.12022036330245683,0.042928792439070176,0.08578350260150486,0.14932136330008014,0.31751035186288995,4.516747064427877e-08,0.17450473925561724
C2,deep_thinking_guidance,C2_learning_support_deep_thinking_guidance,0.28330632827163654,1.2154665175894858e-06,0.4464368688010614,2.5675873235003818e-15,0.3124755887981504,7.532920684622057e-08,0.3474062619569495
